5/2/2019,ROBBERY,STRONG-ARM ,34.1558,-118.3965
8/6/2019,ROBBERY,STRONG-ARM ,34.0515,-118.3667
7/8/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,33.9727,-118.2827
7/5/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0374,-118.374
5/24/2019,ROBBERY,STRONG-ARM ,34.0783,-118.3474
6/13/2019,ROBBERY,HAND GUN,33.9951,-118.3002
7/22/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.178,-118.3825
8/3/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0998,-118.3252
8/25/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE 6INCHES OR LESS,34.2214,-118.4662
7/25/2019,ROBBERY,STRONG-ARM ,34.0598,-118.2935
6/15/2019,ROBBERY,STRONG-ARM ,34.0326,-118.3344
8/3/2019,ROBBERY,STRONG-ARM ,33.9717,-118.2842
4/25/2019,ROBBERY,STRONG-ARM ,34.0256,-118.3061
6/28/2019,ROBBERY,HAND GUN,33.9924,-118.2856
9/14/2019,ROBBERY,STRONG-ARM ,34.069,-118.1927
7/2/2019,ROBBERY,STRONG-ARM ,34.0423,-118.2561
8/11/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,33.9746,-118.3158
9/16/2019,ROBBERY,STRONG-ARM ,33.9602,-118.2608
7/29/2019,KIDNAPPING,STRONG-ARM ,34.1939,-118.4793
7/24/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SEMI-AUTOMATIC PISTOL,34.2198,-118.4533
9/14/2019,ROBBERY,AUTOMATIC WEAPON/SUB-MACHINE GUN,34.0572,-118.3425
7/23/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",REVOLVER,34.0038,-118.2783
8/23/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,33.7412,-118.2924
8/2/2019,ROBBERY,KNIFE WITH BLADE 6INCHES OR LESS,34.0791,-118.2917
7/7/2019,ROBBERY,HAND GUN,33.9786,-118.2761
5/8/2019,ROBBERY,SEMI-AUTOMATIC PISTOL,33.9872,-118.3286
8/23/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0539,-118.2712
7/21/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE 6INCHES OR LESS,33.9745,-118.3309
7/17/2019,ROBBERY,STRONG-ARM ,34.2045,-118.392
4/7/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SHOTGUN,34.0055,-118.2872
4/20/2019,KIDNAPPING,STRONG-ARM ,34.0438,-118.2761
5/26/2019,ROBBERY,SEMI-AUTOMATIC PISTOL,34.1436,-118.3953
4/22/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,34.1966,-118.4749
5/10/2019,ROBBERY,STRONG-ARM ,34.0166,-118.1932
8/18/2019,ROBBERY,KNIFE WITH BLADE 6INCHES OR LESS,34.1522,-118.4566
6/21/2019,ROBBERY,STRONG-ARM ,34.0468,-118.2078
6/27/2019,ROBBERY,STRONG-ARM ,33.9542,-118.2684
5/23/2019,ROBBERY,STRONG-ARM ,33.96,-118.309
5/20/2019,"RAPE, FORCIBLE",STRONG-ARM ,34.0428,-118.2461
5/31/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STRONG-ARM ,34.0547,-118.2772
5/29/2019,ROBBERY,STRONG-ARM ,34.0058,-118.2565
7/7/2019,ROBBERY,STRONG-ARM ,34.2059,-118.5732
7/5/2019,ROBBERY,STRONG-ARM ,34.117,-118.4007
7/30/2019,ROBBERY,CLUB/BAT,34.2051,-118.5754
8/5/2019,ROBBERY,STRONG-ARM ,33.9486,-118.3094
8/30/2019,ROBBERY,HAND GUN,34.0897,-118.2893
6/6/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE 6INCHES OR LESS,34.0373,-118.3489
4/14/2019,ROBBERY,HAND GUN,34.0495,-118.3215
4/7/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,33.9439,-118.2346
6/11/2019,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN,33.9383,-118.2608
6/19/2019,"RAPE, FORCIBLE",KNIFE WITH BLADE 6INCHES OR LESS,34.0428,-118.2819
4/2/2019,ROBBERY,STRONG-ARM ,34.0601,-118.2761
6/21/2019,BURGLARY,STRONG-ARM ,33.9762,-118.2937
4/28/2019,ROBBERY,STRONG-ARM ,33.9875,-118.2958
9/15/2019,ROBBERY,SEMI-AUTOMATIC PISTOL,33.9747,-118.2871
